title,directedBy,starring,imdbId,item_id
Jumanji (1995),Joe Johnston,"Jonathan Hyde, Bradley Pierce, Robin Williams, Kirsten Dunst",0113497,2
Grumpier Old Men (1995),Howard Deutch,"Jack Lemmon, Walter Matthau, Ann-Margret , Sophia Loren",0113228,3
Waiting to Exhale (1995),Forest Whitaker,"Angela Bassett, Loretta Devine, Whitney Houston, Lela Rochon",0114885,4
Sabrina (1995),Sydney Pollack,"Harrison Ford, Greg Kinnear, Nancy Marchand, Julia Ormond",0114319,7
Sudden Death (1995),Peter Hyams,"Raymond J. Barry, Powers Boothe, Jean-Claude Van Damme, Whittni Wright",0114576,9
"American President, The (1995)",Rob Reiner,"Michael Douglas, Michael J. Fox, Martin Sheen, Annette Bening, Richard Dreyfuss",0112346,11
Four Rooms (1995),"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino","Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna, Ione Skye, Lili Taylor, Alicia Witt, Jennifer Beals, David Proval, Antonio Banderas, Lana McKissack, Salma Hayek, Quentin Tarantino, Kathy Griffin, Marisa Tomei, Tim Roth, Bruce Willis",0113101,18
Get Shorty (1995),Barry Sonnenfeld,"John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina, Delroy Lindo, James Gandolfini",0113161,21
Copycat (1995),Jon Amiel,"William McNamara, Dermot Mulroney, Holly Hunter, Sigourney Weaver, Harry Connick Jr.",0112722,22
Leaving Las Vegas (1995),Mike Figgis,"Nicolas Cage, Elisabeth Shue, Richard Lewis, Julian Sands",0113627,25
Now and Then (1995),Lesli Linka Glatter,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith, Gaby Hoffmann, Demi Moore, Rita Wilson, Devon Sawa, Cloris Leachman, Lolita Davidovich, Janeane Garofalo, Hank Azaria, Bonnie Hunt, Rumer Willis, Brendan Fraser",0114011,27
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Terry Gilliam,"Bruce Willis, Jon Seda, Simon Jones, Madeleine Stowe, Brad Pitt, Frederick Strother, Frank Gorshin, Aaron Michael Lacey, David Morse, Lisa Gay Hamilton, Matt Ross, Christopher Plummer, Christopher Meloni",0114746,32
Dead Man Walking (1995),Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry, R. Lee Ermey, Celia Weston, Peter Sarsgaard, Jack Black, Eva Amurri, ",0112818,36
It Takes Two (1995),Andy Tennant,"Steve Guttenberg, Kirstie Alley, Ashley Olsen, Mary-Kate Olsen, Jane Sibbet",0113442,38
Clueless (1995),Amy Heckerling,"Alicia Silverstone, Paul Rudd, Stacey Dash, Brittany Murphy, Donald Faison, Elisa Donovan, Breckin Meyer",0112697,39
Richard III (1995),Richard Loncraine,"Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr., Nigel Hawthorne",0114279,41
Dead Presidents (1995),"Albert Hughes, Allen Hughes","Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez, Rose Jackson, N'Bushe Wright, Jenifer Lewis, Clifton Powell, Terrence Howard, Sticky Fingaz, Bokeem Woodbine, David Barry Gray, Michael Imperioli, Clifton Collins Jr., Tony Sirico, Seymour Cassel, Martin Sheen, Isaiah Washington",0112819,42
Restoration (1995),Michael Hoffman,"Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker, Meg Ryan, Ian McKellen, Hugh Grant, Ian McDiarmid, Roger Ashton-Griffiths",0114272,43
Seven (a.k.a. Se7en) (1995),David Fincher,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow, John C. McGinley, Kevin Spacey",0114369,47
"Usual Suspects, The (1995)",Bryan Singer,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak, Kevin Spacey, Chazz Palminteri, Pete Postlethwaite, Giancarlo Esposito, Suzy Amis, Dan Hedaya, Paul Bartel, Clark Gregg, Louis Lombardi, Vito D'Ambrosio, Peter Greene",0114814,50
Mighty Aphrodite (1995),Woody Allen,"Woody Allen, Mira Sorvino, F. Murray Abraham, Helena Bonham Carter, Olympia Dukakis, Michael Rapaport, David Ogden Stiers, Peter Weller, Jack Warden",0113819,52
"Big Green, The (1995)",Holly Goldberg Sloan,"Steve Guttenberg, Jay O. Sanders, John Terry, Olivia d'Abo",0112499,54
Home for the Holidays (1995),Jodie Foster,"Robert Downey Jr., Claire Danes, Charles Durning, Anne Bancroft, Holly Hunter",0113321,57
"Postman, The (Postino, Il) (1994)",Michael Radford,"Philippe Noiret, Massimo Troisi, Maria Grazia Cucinotta, Renato Scarpa, Linda Moretti",0110877,58
Eye for an Eye (1996),John Schlesinger,"Ed Harris, Olivia Burnette, Sally Field, Alexandra Kyle",0116260,61
Mr. Holland's Opus (1995),Stephen Herek,"Richard Dreyfuss, Jay Thomas, Olympia Dukakis, Glenne Headly",0113862,62
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Paris Barclay,"Marlon Wayans, Shawn Wayans, Tracey Cherelle Jones, Vivian Smallwood",0116126,63
Two Bits (1995),James Foley,"Jerry Barone, Patrick Borriello, Al Pacino, Mary Elizabeth Mastrantonio",0114753,67
Friday (1995),F. Gary Gray,"Ice Cube, Tom 'Tiny' Lister Jr., Chris Tucker, Nia Long, Sandra Bernhard",0113118,69
From Dusk Till Dawn (1996),Robert Rodriguez,"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis, Ernest Liu, Salma Hayek, Cheech Marin, Danny Trejo, Tom Savini, Fred Williamson, John Saxon, Kelly Preston, John Hawkes, Mike Moroff, Tia Texada",0116367,70
"Juror, The (1996)",Brian Gibson,"Alec Baldwin, Joseph Gordon-Levitt, Anne Heche, Demi Moore",0116731,79
Things to Do in Denver When You're Dead (1995),Gary Fleder,"Andy Garcia, Christopher Lloyd, William Forsythe, Steve Buscemi, Christopher Walken",0114660,81
Nick of Time (1995),John Badham,"Johnny Depp, Charles Dutton, Christopher Walken, Courtney Chase",0113972,89
Vampire in Brooklyn (1995),Wes Craven,"Kadeem Hardison, Eddie Murphy, Allen Payne, Angela Bassett",0114825,93
Beautiful Girls (1996),Ted Demme,"Timothy Hutton, Matt Dillon, Noah Emmerich, Annabeth Gish, Lauren Holly, Natalie Portman",0115639,94
Broken Arrow (1996),John Woo,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo, Bob Gunton, Frank Whaley, Vondie Curtis-Hall, Jack Thompson, Vyto Ruginis, Shaun Toub, Kurtwood Smith, Daniel von Bargen, Carmen Argenziano, James MacDonald, French Stewart, Chris Mulkey, Raymond Cruz",0115759,95
"Hate (Haine, La) (1995)",Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili",0113247,97
City Hall (1996),Harold Becker,"Al Pacino, John Cusack, Bridget Fonda, Danny Aiello, Martin Landau, David Paymer, Anthony Franciosa, Richard Schiff, Lindsay Duncan, Nestor Serrano, Lauren Vélez",0115907,100
Bottle Rocket (1996),Wes Anderson,"Ned Dowd, Luke Wilson, Owen Wilson, Shea Fowler, James Caan",0115734,101
Mr. Wrong (1996),Nick Castle,"Bill Pullman, Dean Stockwell, Joan Cusack, Ellen DeGeneres",0117102,102
Unforgettable (1996),John Dahl,"Peter Coyote, Ray Liotta, Christopher McDonald, Linda Fiorentino",0118040,103
Happy Gilmore (1996),Dennis Dugan,"Christopher McDonald, Adam Sandler, Frances Bay, Julie Bowen, Carl Weathers",0116483,104
"Bridges of Madison County, The (1995)",Clint Eastwood,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak",0112579,105
Braveheart (1995),Mel Gibson,"Mel Gibson, Brian Cox, Sophie Marceau, Catherine McCormack, Brendan Gleeson, Patrick McGoohan, Peter Hanly, Tommy Flanagan",0112573,110
Rumble in the Bronx (Hont faan kui) (1995),Stanley Tong,"Jackie Chan, Anita Mui, Françoise Yip, Bill Tung",0113326,112
Before and After (1996),Barbet Schroeder,"Edward Furlong, Liam Neeson, Meryl Streep, Julia Weldon",0115645,113
"Young Poisoner's Handbook, The (1995)",Benjamin Ross,"Tobias Arnold, Roger Lloyd-Pack, Hugh O'Conor, Antony Sher, Charlotte Coleman",0115033,117
If Lucy Fell (1996),Eric Schaeffer,"Eric Schaeffer, Ben Stiller, Elle Macpherson, Sarah Jessica Parker",0116606,118
Boomerang (1992),Reginald Hudlin,"David Alan Grier, Eddie Murphy, Halle Berry, Robin Givens",0103859,122
Chungking Express (Chung Hing sam lam) (1994),Wong Kar-wai,"Brigitte Lin,Tony Leung Chiu Wai, Faye Wong, Takeshi Kaneshiro, Valerie Chow, Chen Jinquan",0109424,123
Flirting With Disaster (1996),David O. Russell,"Ben Stiller, Patricia Arquette, Téa Leoni, Alan Alda, Mary Tyler Moore, George Segal, Lily Tomlin",0116324,125
"NeverEnding Story III, The (1994)",Peter MacDonald,"Jack Black, Jason James Richter, Carole Finn, Melody Kay",0110647,126
"Birdcage, The (1996)",Mike Nichols,"Gene Hackman, Nathan Lane, Robin Williams, Dianne Wiest, Dan Futterman, Calista Flockhart, Hank Azaria",0115685,141
"Brothers McMullen, The (1995)",Edward Burns,"Shari Albert, Maxine Bahns, Catharine Bolz, Connie Britton",0112585,144
"Amazing Panda Adventure, The (1995)",Christopher Cain,"Wang Fei, Stephen Lang, Ryan Slater, Yi Ding",0112342,146
Amateur (1994),Hal Hartley,"Martin Donovan, Damian Young, Isabelle Huppert, Elina Löwensohn",0109093,149
"Addiction, The (1995)",Abel Ferrara,"Christopher Walken, Edie Falco, Annabella Sciorra, Lili Taylor",0112288,152
Batman Forever (1995),Joel Schumacher,"Jim Carrey, Tommy Lee Jones, Val Kilmer, Nicole Kidman",0112462,153
Beyond Rangoon (1995),John Boorman,"U Aung Ko, Patricia Arquette, Frances McDormand",0112495,155
Blue in the Face (1995),"Paul Auster, Wayne Wang","Lou Reed, Michael J. Fox, Roseanne, Jim Jarmusch, Lily Tomlin, Jared Harris, Giancarlo Esposito, Malik Yoba, José Zúñiga, Victor Argo, Stephen Gevedon, Madonna, Mira Sorvino, Keith David, Harvey Keitel, Michael Badalucco, Debra Wilson, RuPaul, ",0112541,156
Crimson Tide (1995),Tony Scott,"Denzel Washington, Gene Hackman, Matt Craven, George Dzundza, James Gandolfini, Viggo Mortensen",0112740,161
Crumb (1994),Terry Zwigoff,"Robert Crumb, Aline Kominsky, Charles Crumb, Maxon Crumb, Robert Hughes",0109508,162
Devil in a Blue Dress (1995),Carl Franklin,"Don Cheadle, Tom Sizemore, Denzel Washington, Jennifer Beals",0112857,164
Die Hard: With a Vengeance (1995),John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Nicholas Wyman, Larry Bryggman, Colleen Camp",0112864,165
"Doom Generation, The (1995)",Gregg Araki,"James Duval, Rose McGowan, Jonathan Schaech",0112887,166
Jeffrey (1995),Christopher Ashley,"Steven Weber, Michael T. Weiss, Patrick Stewart, Bryan Batt",0113464,171
Johnny Mnemonic (1995),Robert Longo,"Ice-T , Takeshi Kitano, Keanu Reeves, Dina Meyer, Dennis Akayama, Dolph Lundgren, Henry Rollins, Barbara Sukowa, Udo Kier, Tracy Tweed",0113481,172
Judge Dredd (1995),Danny Cannon,"Sylvester Stallone, Armand Assante, Rob Schneider, Diane Lane, Jürgen Prochnow, Max von Sydow, Joan Chen, Ewen Bremner",0113492,173
Kids (1995),Larry Clark,"Joseph Chan, Leo Fitzpatrick, Justin Pierce, Sarah Henderson, Chloë Sevigny, Rosario Dawson",0113540,175
Living in Oblivion (1995),Tom DiCillo,"Steve Buscemi, Dermot Mulroney, Catherine Keener, Danielle von Zerneck",0113677,176
Mallrats (1995),Kevin Smith,"Jason Lee, Jeremy London, Shannen Doherty, Claire Forlani, Ben Affleck, Joey Lauren Adams, Jason Mewes",0113749,180
Mighty Morphin Power Rangers: The Movie (1995),Bryan Spicer,"Johnny Yong Bosch, Steve Cardenas, Jason David Frank, Karan Ashley",0113820,181
Mute Witness (1994),Anthony Waller,"Evan Richards, Oleg Yankovsky, Fay Ripley, Marina Zudina, Alec Guinness",0110604,183
"Prophecy, The (1995)",Gregory Widen,"Elias Koteas, Eric Stoltz, Christopher Walken, Virginia Madsen, Viggo Mortensen",0114194,188
Safe (1995),Todd Haynes,"Xander Berkeley, Peter Friedman, Julianne Moore, Susan Norman",0114323,190
"Scarlet Letter, The (1995)",Roland Joffé,"Robert Duvall, Gary Oldman, Lisa Joliffe-Andoh, Demi Moore",0114345,191
Showgirls (1995),Paul Verhoeven,"Elizabeth Berkley, Kyle MacLachlan, Gina Gershon, Glenn Plummer, Robert Davi, Alan Rachins, Gina Ravera, Lin Tucci, Al Ruscio, Rena Riffel, Jack McGee, Bobbie Phillips, Alexander Folk, Jim Wise, ",0114436,193
Something to Talk About (1995),Lasse Hallström,"Robert Duvall, Dennis Quaid, Julia Roberts, Gena Rowlands",0114496,195
Total Eclipse (1995),Agnieszka Holland,"Leonardo DiCaprio, David Thewlis, Dominique Blanc, Romane Bohringer",0114702,202
Unstrung Heroes (1995),Diane Keaton,"Maury Chaykin, Michael Richards, John Turturro, Andie MacDowell",0114798,205
"Walk in the Clouds, A (1995)",Alfonso Arau,"Giancarlo Giannini, Anthony Quinn, Keanu Reeves, Aitana Sánchez-Gijón",0114887,207
Waterworld (1995),Kevin Costner,"Kevin Costner, Jeanne Tripplehorn, Dennis Hopper, Chaim Girafi, Jack Kehler, Tina Majorino, Michael Jeter, Robert Joy, Jack Black, Kim Coates",0114898,208
Before Sunrise (1995),Richard Linklater,"Ethan Hawke, Julie Delpy",0112471,215
Billy Madison (1995),Tamra Davis,"Darren McGavin, Adam Sandler, Bradley Whitford, Bridgette Wilson",0112508,216
"Cure, The (1995)",Peter Horton,"Aeryk Egan, Brad Renfro, Delphine French, Mona Powell",0112757,219
Castle Freak (1995),Stuart Gordon,"Jeffrey Combs, Jonathan Fuller, Barbara Crampton, Jessica Dollarhide",0112643,220
Clerks (1994),Kevin Smith,"Brian O'Halloran, Jeff Anderson, Jason Mewes, Kevin Smith, Marilyn Ghigliotti, Lisa Spoonauer",0109445,223
Don Juan DeMarco (1995),Jeremy Leven,"Marlon Brando, Johnny Depp, Faye Dunaway, Géraldine Pailhas",0112883,224
Drop Zone (1994),John Badham,"Gary Busey, Michael Jeter, Wesley Snipes, Yancy Butler",0109676,227
