tag,item_id,num
aardman,1223,9
aardman,3429,3
aardman,48982,7
aardman,64285,9
aardman,91414,1
aardman,94833,4
secret service,474,16
secret service,1292,1
secret service,1459,6
secret service,1608,9
secret service,2353,1
secret service,3639,1
secret service,3708,1
secret service,5989,1
secret service,6992,1
secret service,7040,1
secret service,7169,1
secret service,26268,1
secret service,27032,1
secret service,33679,1
secret service,60126,5
secret service,63113,21
secret service,73323,1
secret service,82051,1
secret service,90522,2
secret service,96079,1
secret service,103339,1
secret service,105420,1
secret service,109569,1
secret service,130496,1
secret service,136020,1
secret service,136311,1
secret service,148080,1
secret service,152079,8
secret service,165699,1
secret service,176101,10
hillarious,223,1
hillarious,671,3
hillarious,3785,1
hillarious,4343,6
hillarious,5292,2
hillarious,6666,1
hillarious,59784,1
hillarious,69278,1
hillarious,92192,1
hillarious,104078,1
hillarious,134853,4
christian,188,1
christian,1237,1
christian,1287,1
christian,1694,1
christian,2336,1
christian,2840,1
christian,3093,1
christian,3152,1
christian,4881,1
christian,6406,1
christian,6768,10
christian,6982,1
christian,6986,1
christian,7331,1
christian,7333,1
christian,7386,32
christian,8366,20
christian,8684,1
christian,33162,22
christian,34338,1
christian,44947,1
christian,55159,1
christian,64114,6
christian,74436,1
christian,86781,1
christian,86815,2
christian,86898,1
christian,93265,4
christian,93502,1
christian,103688,3
christian,122888,1
christian,142388,1
christian,151687,8
christian,155288,1
christian,213990,1
mummy,2083,2
mummy,2327,1
mummy,4270,17
mummy,4767,3
mummy,5313,4
mummy,6530,2
mummy,7948,1
mummy,79895,1
mummy,97225,1
mummy,136722,1
mummy,142997,1
mummy,143515,3
mummy,188307,1
pretentious,253,1
pretentious,296,4
pretentious,802,6
pretentious,1199,4
pretentious,1230,1
pretentious,1358,1
pretentious,2272,1
pretentious,2918,1
pretentious,4312,1
pretentious,4658,1
pretentious,4878,19
pretentious,4914,1
pretentious,5105,1
pretentious,5903,3
pretentious,6773,1
pretentious,7068,2
pretentious,7361,4
pretentious,7817,1
pretentious,8749,1
pretentious,8914,3
pretentious,26231,1
pretentious,26578,2
pretentious,27366,3
pretentious,27773,1
pretentious,30707,1
pretentious,44761,5
pretentious,44937,1
pretentious,45730,2
pretentious,46322,1
pretentious,47525,1
pretentious,48043,3
pretentious,48774,2
pretentious,48997,1
pretentious,50011,1
pretentious,52952,1
pretentious,55820,1
pretentious,58559,1
pretentious,60303,1
pretentious,62203,3
pretentious,62849,1
pretentious,63082,5
pretentious,66665,2
pretentious,73572,2
pretentious,74545,3
pretentious,77455,2
pretentious,79132,18
pretentious,79357,6
pretentious,80693,1
pretentious,80969,2
pretentious,81456,1
pretentious,82173,1
pretentious,86320,4
pretentious,86882,2
pretentious,86898,3
pretentious,89480,2
pretentious,89904,5
pretentious,91529,12
pretentious,91890,1
pretentious,93502,1
pretentious,93790,1
pretentious,95058,1
pretentious,96610,2
pretentious,97230,1
pretentious,97752,18
pretentious,97860,1
pretentious,97938,3
pretentious,99296,3
pretentious,99917,15
pretentious,101525,1
pretentious,103685,1
pretentious,104374,2
pretentious,108190,4
pretentious,108981,1
pretentious,109374,5
pretentious,109487,21
pretentious,111622,2
pretentious,112183,32
pretentious,113275,2
pretentious,116799,9
pretentious,118246,1
pretentious,120863,1
pretentious,127110,1
pretentious,127116,1
pretentious,127180,1
pretentious,133771,1
pretentious,134853,2
pretentious,139385,2
pretentious,147927,1
pretentious,149334,3
pretentious,154858,1
pretentious,155064,1
pretentious,158966,19
pretentious,160644,2
pretentious,160992,1
pretentious,163809,1
pretentious,166568,1
pretentious,168610,2
pretentious,171869,1
pretentious,173369,1
pretentious,176601,2
pretentious,177689,12
pretentious,183869,1
pretentious,188623,1
pretentious,193147,2
pretentious,193605,1
pretentious,201316,2
pretentious,204352,5
pretentious,204698,1
pretentious,208773,2
pretentious,212373,2
cool,21,1
cool,117,1
cool,153,1
cool,260,17
cool,296,28
cool,442,1
cool,466,2
cool,733,1
cool,778,2
cool,928,1
cool,1060,2
cool,1291,1
cool,1690,2
cool,2278,2
cool,4077,1
cool,4344,4
cool,4855,3
cool,4963,2
cool,4975,1
cool,5377,1
cool,5418,1
cool,5957,1
cool,6155,1
cool,6624,1
cool,6890,1
cool,7153,1
cool,8494,1
cool,27523,1
cool,48516,1
cool,50011,1
cool,58559,1
cool,67255,1
cool,71462,1
cool,109487,1
cool,111622,1
mtv,2859,1
mtv,4587,1
mtv,5785,1
mtv,37386,7
mtv,48322,1
culture clash,442,1
culture clash,509,1
culture clash,551,1
culture clash,590,32
culture clash,714,1
culture clash,1079,1
culture clash,1204,5
culture clash,1279,1
culture clash,1419,1
culture clash,1457,1
culture clash,1474,1
culture clash,1884,2
culture clash,1950,1
culture clash,1952,2
culture clash,1962,1
culture clash,2019,3
culture clash,2151,1
culture clash,2321,2
culture clash,2374,1
culture clash,2420,2
culture clash,2421,2
culture clash,2496,1
culture clash,2590,1
culture clash,2863,1
culture clash,2871,1
culture clash,3074,4
culture clash,3130,1
culture clash,3247,1
culture clash,3424,8
culture clash,3538,1
culture clash,3706,1
culture clash,3740,1
culture clash,3925,1
culture clash,4444,1
culture clash,4705,1
culture clash,4919,1
culture clash,5299,20
culture clash,6218,16
culture clash,6711,1
culture clash,7048,1
culture clash,7086,1
culture clash,7102,1
culture clash,7324,1
culture clash,34528,1
culture clash,36363,9
culture clash,36535,7
culture clash,41863,3
culture clash,42418,1
culture clash,43869,1
culture clash,54796,1
culture clash,55442,1
culture clash,55555,1
culture clash,60482,1
culture clash,63082,1
culture clash,71318,1
culture clash,72998,12
culture clash,83374,1
culture clash,105504,1
culture clash,111764,1
culture clash,111995,1
culture clash,192283,1
culture clash,194448,1
culture clash,197877,3
culture clash,203224,1
culture clash,209595,1
culture clash,223638,1
culture clash,225625,1
gay character,593,1
gay character,1859,1
gay character,2321,1
gay character,2336,1
gay character,2897,1
gay character,3317,1
gay character,3967,1
gay character,4169,1
gay character,4705,1
gay character,5367,1
gay character,6684,1
gay character,8666,1
gay character,27717,1
gay character,46970,7
gay character,62434,1
gay character,70663,1
gay character,74436,1
gay character,91199,13
gay character,99367,1
gay character,107916,1
gay character,108787,2
gay character,108789,1
gay character,108791,2
gay character,134783,1
gay character,185711,1
gay character,185989,1
gay character,205156,1
gay character,206451,1
gay character,219015,1
gay character,219726,1
rome,289,1
rome,1279,1
rome,1287,7
rome,1572,1
rome,1611,1
rome,2728,15
rome,3089,7
rome,3176,4
rome,3181,3
rome,3578,126
rome,3808,1
rome,4274,1
rome,4444,1
rome,5304,1
rome,6041,2
rome,6611,1
rome,8154,4
rome,8739,1
rome,8748,1
rome,26094,1
rome,26160,1
rome,26340,1
rome,26529,1
rome,63760,1
rome,85885,2
rome,91831,1
rome,114042,1
rome,122888,1
rome,136020,11
rome,140038,1
rome,143755,1
rome,155078,2
rome,178883,1
rome,182825,7
rome,188885,1
francis ford copolla,1208,10
francis ford copolla,3730,2
private detective,164,1
private detective,344,4
private detective,1069,2
private detective,1252,42
private detective,1343,1
private detective,1964,1
private detective,2505,1
private detective,3125,1
private detective,3141,1
private detective,3364,1
private detective,3387,1
private detective,3706,3
private detective,4426,2
private detective,6503,2
private detective,6700,1
private detective,6873,1
private detective,7116,1
private detective,7136,1
private detective,7193,2
private detective,8404,1
private detective,26349,6
private detective,27721,1
private detective,31696,1
private detective,32263,1
private detective,62526,1
private detective,73017,1
private detective,99957,1
private detective,111661,1
private detective,140133,1
private detective,158238,1
private detective,160992,1
private detective,164204,2
private detective,207313,8
historical,43,3
historical,110,94
historical,356,96
historical,383,1
historical,412,1
historical,458,1
historical,527,84
historical,590,33
historical,1025,3
historical,1080,1
historical,1201,9
historical,1204,2
historical,1222,1
historical,1224,2
historical,1231,3
historical,1262,14
historical,1277,3
historical,1287,2
historical,1721,58
historical,1957,1
historical,2019,24
historical,2028,92
historical,2194,2
historical,2313,12
